업종,상호,지번주소,도로명주소
일반음식점,찌개달인,서울특별시 중랑구 중랑역로 89 (중화동),서울특별시 중랑구 중화동 312-2 
일반음식점,무진장숯불갈비,서울특별시 중랑구 면목로78길 12 (면목동),서울특별시 중랑구 면목동 121-27 
일반음식점,춘천골,서울특별시 중랑구 용마산로115길 30 (망우동),서울특별시 중랑구 망우동 470-6 
일반음식점,가야한방찜닭,서울특별시 중랑구 동일로149길 15 (묵동),서울특별시 중랑구 묵동 250-17 
일반음식점,남촌흑염소,서울특별시 중랑구 중랑역로 245 (묵동),서울특별시 중랑구 묵동 233-5 
일반음식점,묵동식당,서울특별시 중랑구 중랑역로 281 (묵동),서울특별시 중랑구 묵동 161-3 
일반음식점,양자강,"서울특별시 중랑구 중랑역로 170-1, 1층 (묵동)",서울특별시 중랑구 묵동 244-107 
일반음식점,왕박사식당,서울특별시 중랑구 상봉로11길 19 (면목동),서울특별시 중랑구 면목동 74-49 
일반음식점,알콜에 빠진닭,서울특별시 중랑구 면목로35길 47 (면목동),서울특별시 중랑구 면목동 673-3 
일반음식점,통나무집,서울특별시 중랑구 용마산로94가길 26 (면목동),서울특별시 중랑구 면목동 19-53 
일반음식점,켈리포니아,서울특별시 중랑구 망우로 213 (중화동),서울특별시 중랑구 중화동 208-23 
일반음식점,대교참치,"서울특별시 중랑구 용마산로129나길 3, 1층 (신내동)",서울특별시 중랑구 신내동 391-4 
일반음식점,봉구비어,서울특별시 중랑구 동일로163길 15 (묵동),서울특별시 중랑구 묵동 239-144 
일반음식점,곱분이곱창,서울특별시 중랑구 망우로50길 34 (상봉동),서울특별시 중랑구 상봉동 90-49 
일반음식점,개미식당,서울특별시 중랑구 겸재로15길 9 (면목동),서울특별시 중랑구 면목동 146-70 
일반음식점,설빙 상봉점,서울특별시 중랑구 망우로 204 (상봉동),서울특별시 중랑구 상봉동 130-1 
일반음식점,흥부네,서울특별시 중랑구 용마산로129길 32 (신내동),서울특별시 중랑구 신내동 412-8 
일반음식점,오딧세이,서울특별시 중랑구 용마산로115길 92 (망우동),서울특별시 중랑구 망우동 490-13 
일반음식점,센스,서울특별시 중랑구 동일로109가길 25 (상봉동),서울특별시 중랑구 상봉동 129-12 
일반음식점,비서실,서울특별시 중랑구 망우로 216-8 (상봉동),서울특별시 중랑구 상봉동 129-67 
일반음식점,피자코코,"서울특별시 중랑구 동일로163길 17 (묵동,1층)",서울특별시 중랑구 묵동 239-143 1층 
일반음식점,푸른식탁,서울특별시 중랑구 봉우재로 163 (상봉동),서울특별시 중랑구 상봉동 85-60 
일반음식점,돼지네식당,서울특별시 중랑구 동일로126길 8 (중화동),서울특별시 중랑구 중화동 295-26 
일반음식점,홍이네분식,서울특별시 중랑구 망우로73길 26 (망우동),서울특별시 중랑구 망우동 342-47 
일반음식점,미락분식,"서울특별시 중랑구 용마산로94길 4 (면목동, 1층)",서울특별시 중랑구 면목동 19-33 
일반음식점,팔도실비집 사가정역점,서울특별시 중랑구 면목로45길 7 (면목동),서울특별시 중랑구 면목동 496-25 
일반음식점,화국&슬기로운,서울특별시 중랑구 면목로 404 (면목동),서울특별시 중랑구 면목동 360-3 
일반음식점,미크닉김밥,서울특별시 중랑구 동일로92길 11 (면목동),서울특별시 중랑구 면목동 161-27 
일반음식점,명동만두,서울특별시 중랑구 용마산로115나길 23 (망우동),서울특별시 중랑구 망우동 491-8 
일반음식점,장안칼국수,서울특별시 중랑구 상봉중앙로 56 (상봉동),서울특별시 중랑구 상봉동 220-8 
일반음식점,고모리보리밥,"서울특별시 중랑구 중랑역로 124, 상가동 107,108호 (중화동, 삼익아파트)",서울특별시 중랑구 중화동 438 
일반음식점,다락,서울특별시 중랑구 면목로 336 (면목동),서울특별시 중랑구 면목동 459-14 
일반음식점,푸지미,서울특별시 중랑구 면목로 484 (상봉동),서울특별시 중랑구 상봉동 102-59 
일반음식점,돈대감 솔잎황토구이,서울특별시 중랑구 송림길 1 (상봉동),서울특별시 중랑구 상봉동 74-1 
일반음식점,사가정,서울특별시 중랑구 면목로 389 (면목동),서울특별시 중랑구 면목동 115-23 
일반음식점,춘천터닭갈비,서울특별시 중랑구 면목로 351 (면목동),서울특별시 중랑구 면목동 498-18 
일반음식점,술빨,서울특별시 중랑구 면목로 480 (상봉동),서울특별시 중랑구 상봉동 102-73 
일반음식점,영광식당,서울특별시 중랑구 봉우재로 202 (망우동),서울특별시 중랑구 망우동 518-36 
일반음식점,춘향이호프,서울특별시 중랑구 망우로36길 27 (상봉동),서울특별시 중랑구 상봉동 128-70 
일반음식점,본가냉면돈까스,"서울특별시 중랑구 용마산로96길 13, 1층 (망우동)",서울특별시 중랑구 망우동 441-25 
일반음식점,봉숙이네,"서울특별시 중랑구 중랑역로 83 (중화동, 1층)",서울특별시 중랑구 중화동 312-7 
일반음식점,디오니스,서울특별시 중랑구 동일로157길 19 (묵동),서울특별시 중랑구 묵동 244-140 
일반음식점,소피아,서울특별시 중랑구 면목로 205 (면목동),서울특별시 중랑구 면목동 398-27 
일반음식점,새나라치킨,서울특별시 중랑구 사가정로42길 73 (면목동),서울특별시 중랑구 면목동 673-61 
일반음식점,고향골생고기,서울특별시 중랑구 공릉로 74 (묵동),서울특별시 중랑구 묵동 158-5 
일반음식점,박가네압구정찌개명가,서울특별시 중랑구 용마산로 411 (면목동),서울특별시 중랑구 면목동 20-4 
일반음식점,공릉닭한마리,서울특별시 중랑구 봉화산로 236 (신내동),서울특별시 중랑구 신내동 393-5 
일반음식점,참숯 生고기,서울특별시 중랑구 면목로 233 (면목동),서울특별시 중랑구 면목동 390-27 
일반음식점,더 마블링 망우목장,서울특별시 중랑구 용마산로115길 8 (망우동),서울특별시 중랑구 망우동 486-8 
일반음식점,팔봉산생고기,서울특별시 중랑구 사가정로49길 8 (면목동),서울특별시 중랑구 면목동 604-25 
일반음식점,용이숙이닭한마리,서울특별시 중랑구 동일로109가길 19 (면목동),서울특별시 중랑구 면목동 184-1 
일반음식점,윤이 불닭발,서울특별시 중랑구 면목로 446 (면목동),서울특별시 중랑구 면목동 226-10 
일반음식점,솥뚜껑잔치삼겹살,서울특별시 중랑구 동일로101길 32 (면목동),서울특별시 중랑구 면목동 181-126 
일반음식점,동창숯불닭갈비,서울특별시 중랑구 봉화산로56길 25 (신내동),서울특별시 중랑구 신내동 413-1 
일반음식점,승희 장수곱창,서울특별시 중랑구 중랑역로 76-1 (중화동),서울특별시 중랑구 중화동 304-39 
일반음식점,영산강오리,서울특별시 중랑구 면목로54길 5 (면목동),서울특별시 중랑구 면목동 428-40 
일반음식점,정팔이식당,서울특별시 중랑구 면목로33길 19 (면목동),서울특별시 중랑구 면목동 369-2 
일반음식점,태능숯불갈비,서울특별시 중랑구 면목로37길 14 (면목동),서울특별시 중랑구 면목동 653-32 
일반음식점,로또식당,서울특별시 중랑구 중랑천로12길 16 (상봉동),서울특별시 중랑구 상봉동 136-47 
일반음식점,중화루,"서울특별시 중랑구 겸재로 117, 1층 (면목동)",서울특별시 중랑구 면목동 147-17 지상1층 
일반음식점,즉석우동,서울특별시 중랑구 망우로 431 (망우동),서울특별시 중랑구 망우동 487-2 
일반음식점,신체르니각,"서울특별시 중랑구 용마산로86길 9-27, 101동 상가101호 (면목동, 면목동신성미소지움아파트)",서울특별시 중랑구 면목동 1527 면목동신성미소지움아파트 101동 상가101호
일반음식점,마산아구찜,"서울특별시 중랑구 중랑역로 150 (묵동,우성아파트상가104호)",서울특별시 중랑구 묵동 245-64 우성아파트상가104호 
일반음식점,맛대박,"서울특별시 중랑구 용마산로90길 28, 서일대학 (면목동)",서울특별시 중랑구 면목동 49-3 서일대학 
일반음식점,홍콩반점0410 사가정역점,서울특별시 중랑구 면목로 337 (면목동),서울특별시 중랑구 면목동 497-25 
일반음식점,유성,서울특별시 중랑구 봉우재로 7 (면목동),서울특별시 중랑구 면목동 191-78
일반음식점,대파집 중랑직영점,서울특별시 중랑구 망우로30길 20 (상봉동),서울특별시 중랑구 상봉동 136-83 
